node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
FI_4,FI_4 hydro,hydro,50.4,0,0,0.46,inflow_NO1,810209.3023255814,10,const,const,0.6,0,0,0,,,,created
FI_4,FI_4 ror,ror,259.74771837352836,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_5,FI_5 hydro,hydro,6.3,0,0,0.46,inflow_NO1,101276.16279069768,10,const,const,0.6,0,0,0,,,,created
FI_5,FI_5 ror,ror,62.14450500335508,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_5,FI2 7 onwind,wind_on,179.2621568388608,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_5,FI2 7 solar,solar,1.0244797387434894,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_5,FI_5 biomass,biomass,60.662278998364485,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_5,FI2 7 lignite,fossil_other,70.23135570705368,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_5,FI_5 fossil_gas,fossil_gas,37.97114265725869,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_6,FI2 13 solar,solar,3.324316015324129,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI_6 fossil_gas,fossil_gas,123.21188295094964,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_6,FI_6 hydro,hydro,28.5,0,0,0.46,inflow_NO1,458154.06976744183,10,const,const,0.6,0,0,0,,,,created
FI_6,FI2 13 onwind,wind_on,581.6845726,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI2 13 coal,fossil_other,227.8924723696669,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI2 13 biomass,biomass,196.84194618397981,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_6,FI_6 ror,ror,201.6515949,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_7,FI_7 fossil_gas,fossil_gas,78.84830815471891,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_7,FI_7 hydro,hydro,85,0,0,0.46,inflow_NO1,1366424.4186046512,10,const,const,0.6,0,0,0,,,,created
FI_7,FI_7 ror,ror,129.04507838639702,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_7,FI2 10 biomass,biomass,125.96718805659168,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_7,FI2 10 lignite,fossil_other,145.8376859210702,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_7,FI2 10 solar,solar,2.127365375012508,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_7,FI2 10 onwind,wind_on,372.2436775341035,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI2 12 biomass,biomass,71.7028617,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI2 12 lignite,fossil_other,83.01351792662685,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI2 12 onwind,wind_on,211.88801099583463,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI_8 ror,ror,73.45485400645973,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_8,FI_8 hydro,hydro,3.4,0,0,0.46,inflow_NO1,54656.976744186046,10,const,const,0.6,0,0,0,,,,created
FI_8,FI2 12 solar,solar,1.2109358605063507,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_8,FI_8 fossil_gas,fossil_gas,44.88192061706517,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
FI_9,FI_9 ror,ror,108.94445004834613,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
FI_9,FI2 2 biomass,biomass,106.34598543828383,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI2 2 oil,fossil_other,123.12136725912703,0,85,1,const,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI2 2 solar,solar,1.7959975981312757,0,0.01,1,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI2 2 onwind,wind_on,314.2613669581194,0,0.015,1,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated
FI_9,FI2 2 CCGT,fossil_gas,66.56654927541878,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,updated
NO1_1,NO2 19 onwind,wind_on,71.70004265,0,0.015,1,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_1,NO1_1 biomass,biomass,6.004437069347152,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 fossil_gas,fossil_gas,1.2362076319244137,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 solar,solar,3.002218534673576,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO1_1 ror,ror,458.9862336245073,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_1,NO2 19 hydro,hydro,247.59472856543258,0,0,0.46,inflow_NO1,1046361.4598788786,10,hydro,const,0.6,0,0,5,,,,updated
NO1_2,NO1_2 biomass,biomass,3.373183271956427,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_2,NO2 9 hydro,hydro,139.0942043318503,0,0,0.46,inflow_NO1,587826.7907747596,10,hydro,const,0.6,0,0,5,,,,updated
NO1_2,NO2 9 onwind,wind_on,40.27977671806792,0,0.015,1,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_2,NO1_2 fossil_gas,fossil_gas,0.6944789089322055,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_2,NO1_2 solar,solar,1.6865916359782136,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_2,NO1_2 ror,ror,257.8500977592575,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
