node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
NO1_3,NO1_3 wind_on,wind_on,231.012259,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_3,NO1_3 hydro,hydro,797.7319881,0,0,0.46,inflow_NO1,3371299.593,10,hydro,const,0.6,0,0,5,,,,updated
NO1_3,NO1_3 solar,solar,9.672927103,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_3,NO1_3 ror,ror,1478.819855,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 solar,solar,0.9191224,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 ror,ror,140.5175952,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 fossil_gas,fossil_gas,0.378462165,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 biomass,biomass,1.8382448,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 wind_on,wind_on,21.95080555,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_4,NO1_4 hydro,hydro,75.80056499,0,0,0.46,inflow_NO1,320341.1894,10,hydro,const,0.6,0,0,5,,,,updated
NO1_5,NO1_5 biomass,biomass,3.438280653,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_5,NO1_5 wind_on,wind_on,41.05711603,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_5,NO1_5 ror,ror,262.8262181,0,1,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_5,NO1_5 hydro,hydro,141.778514,0,0,0.46,inflow_NO1,599170.9667,10,hydro,const,0.6,0,0,0,,,,created
