Kolonne1,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status,source
117,FI_9,FI_9 biomass,biomass,106.3459854,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
118,FI_9,FI_9 fossil_other,fossil_other,123.1213673,0,110.19,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
119,FI_9,FI_9 solar,solar,1.795997598,0,0.01,0.8,solar_FI,0,1,const,const,0.6,0,0,0,,,,updated,
120,FI_9,FI_9 wind_on,wind_on,314.261367,0,0.015,0.8,windon_FI,0,1,const,const,0.6,0,0,0,,,,updated,
121,FI_9,FI_9 fossil_gas,fossil_gas,66.56654928,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,updated,
122,NO1_1,NO1_1 wind_on,wind_on,71.70004265,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated,
123,NO1_1,NO1_1 biomass,biomass,6.004437069,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
124,NO1_1,NO1_1 fossil_gas,fossil_gas,1.236207632,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
125,NO1_1,NO1_1 solar,solar,3.002218535,0,0.01,0.8,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created,
126,NO1_1,NO1_1 ror,ror,458.9862336,0,0,0.46,inflow_NO1,0,15,ror,const,0.6,0,0,0,,,,created,
127,NO1_1,NO1_1 hydro,hydro,247.5947286,0,0,0.46,inflow_NO1,1059606.542,15,hydro,const,0.6,0,0,5,,,,updated,
128,NO1_2,NO1_2 biomass,biomass,3.373183272,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
129,NO1_2,NO1_2 hydro,hydro,139.0942043,0,0,0.46,inflow_NO1,595267.6362,15,hydro,const,0.6,0,0,5,,,,updated,
130,NO1_2,NO1_2 wind_on,wind_on,40.27977672,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated,
131,NO1_2,NO1_2 fossil_gas,fossil_gas,0.694478909,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
132,NO1_2,NO1_2 solar,solar,1.686591636,0,0.01,0.8,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created,
133,NO1_2,NO1_2 ror,ror,257.8500978,0,0,0.46,inflow_NO1,0,15,ror,const,0.6,0,0,0,,,,created,
134,NO1_3,NO1_3 fossil_gas,fossil_gas,3.982969984,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
135,NO1_3,NO1_3 biomass,biomass,19.34585421,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
136,NO1_3,NO1_3 wind_on,wind_on,231.012259,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated,
137,NO1_3,NO1_3 hydro,hydro,797.7319881,0,0,0.46,inflow_NO1,3413974.272,15,hydro,const,0.6,0,0,5,,,,updated,
138,NO1_3,NO1_3 solar,solar,9.672927103,0,0.01,0.8,solar_NO1,0,1,const,const,0.6,0,0,0,,,,updated,
139,NO1_3,NO1_3 ror,ror,1478.819855,0,0,0.46,inflow_NO1,0,15,ror,const,0.6,0,0,0,,,,created,
140,NO1_4,NO1_4 solar,solar,0.9191224,0,0.01,0.8,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created,
141,NO1_4,NO1_4 ror,ror,140.5175952,0,0,0.46,inflow_NO1,0,15,ror,const,0.6,0,0,0,,,,created,
142,NO1_4,NO1_4 fossil_gas,fossil_gas,0.378462165,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
143,NO1_4,NO1_4 biomass,biomass,1.8382448,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
144,NO1_4,NO1_4 wind_on,wind_on,21.95080555,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated,
145,NO1_4,NO1_4 hydro,hydro,75.80056499,0,0,0.46,inflow_NO1,324396.1412,15,hydro,const,0.6,0,0,5,,,,updated,
146,NO1_5,NO1_5 biomass,biomass,3.438280653,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
147,NO1_5,NO1_5 wind_on,wind_on,41.05711603,0,0.015,0.8,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated,
148,NO1_5,NO1_5 ror,ror,262.8262181,0,0,0.46,inflow_NO1,0,15,ror,const,0.6,0,0,0,,,,created,
149,NO1_5,NO1_5 hydro,hydro,141.778514,0,0,0.46,inflow_NO1,606755.4093,15,hydro,const,0.6,0,0,0,,,,created,
150,NO1_5,NO1_5 fossil_gas,fossil_gas,0.707881311,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
151,NO1_5,NO1_5 solar,solar,1.719140326,0,0.01,0.8,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created,
152,NO2_1,NO2_1 ror,ror,872.8815617,0,0,0.46,inflow_NO2,0,15,ror,const,0.6,0,0,0,,,,created,
153,NO2_1,NO2_1 wind_off,wind_off,3.454676366,0,0.015,0.8,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created,
154,NO2_1,NO2_1 fossil_gas,fossil_gas,13.24292607,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
155,NO2_1,NO2_1 biomass,biomass,12.66714667,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
156,NO2_1,NO2_1 hydro,hydro,5984.075245,0,0,0.46,inflow_NO2,19577075.19,15,hydro,const,0.6,0,0,5,,,,updated,
157,NO2_1,NO2_1 solar,solar,10.67560609,0,0.01,0.8,solar_NO2,0,1,const,const,0.6,0,0,0,,,,updated,
158,NO2_1,NO2_1 wind_on,wind_on,833.1527835,0,0.015,0.8,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated,
159,NO2_2,NO2_2 hydro,hydro,393.6362979,0,0,0.46,inflow_NO2,1287792.53,15,hydro,const,0.6,0,0,5,,,,updated,
160,NO2_2,NO2_2 biomass,biomass,0.833253012,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
161,NO2_2,NO2_2 fossil_gas,fossil_gas,0.871128149,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
162,NO2_2,NO2_2 wind_on,wind_on,54.80532311,0,0.015,0.8,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated,
163,NO2_2,NO2_2 ror,ror,57.41870756,0,0,0.46,inflow_NO2,0,15,ror,const,0.6,0,0,0,,,,created,
